date,cash,holdings_value,equity,n_positions
2018-07-24,444.0008549627511,28968.18580314821,29412.186658110964,55
2018-07-25,444.0008549627511,29184.62968423122,29628.63053919397,55
2018-07-26,444.0008549627511,29320.484959406287,29764.48581436904,55
2018-07-27,327.6670242188907,29408.093136814303,29735.760161033195,55
2018-07-30,354.319815130661,29257.50136662104,29611.8211817517,55
2018-07-31,354.319815130661,29514.694603428932,29869.014418559593,55
2018-08-01,194.96275439078727,29541.314115636615,29736.276870027403,55
2018-08-02,179.6591803950705,29655.01436467337,29834.673545068443,55
2018-08-03,179.6591803950705,29779.08366814995,29958.742848545022,55
2018-08-06,179.6591803950705,29804.61394667782,29984.27312707289,55
2018-08-07,79.65358123780356,29935.578824293556,30015.23240553136,55
2018-08-08,22.76787721574931,29921.80850973429,29944.576386950037,55
2018-08-09,25.235723578707848,29841.71157725544,29866.94730083415,55
2018-08-10,1220.716820556188,28390.872093151673,29611.58891370786,53
2018-08-13,693.899537962222,28769.685875550516,29463.585413512737,54
2018-08-14,100.0825411919169,29590.76729732334,29690.849838515256,55
2018-08-15,100.0825411919169,29343.32197934978,29443.4045205417,55
2018-08-16,104.7001539935917,29585.650950612246,29690.351104605837,55
2018-08-17,104.7001539935917,29714.351230363805,29819.051384357397,55
2018-08-20,104.7001539935917,29839.471260552287,29944.17141454588,55
2018-08-21,119.31262909225416,29966.81974713624,30086.132376228496,55
2018-08-22,119.31262909225416,29951.65755693327,30070.970186025526,55
2018-08-23,119.31262909225416,29832.56525542865,29951.877884520905,55
2018-08-24,119.31262909225416,30074.696659562345,30194.0092886546,55
2018-08-27,119.31262909225416,30291.926620176953,30411.23924926921,55
2018-08-28,119.31262909225416,30296.45465476762,30415.767283859874,55
2018-08-29,119.31262909225416,30386.75055340586,30506.063182498114,55
2018-08-30,164.1813105699614,30154.175882281197,30318.35719285116,55
2018-08-31,164.1813105699614,30124.55281626668,30288.734126836644,55
2018-09-04,164.1813105699614,30005.64270969473,30169.824020264692,55
2018-09-05,164.1813105699614,30010.002579889602,30174.183890459564,55
2018-09-06,296.19242481145693,29765.133575508407,30061.326000319863,55
2018-09-07,322.53842305587534,29625.897938902563,29948.436361958436,55
2018-09-10,322.53842305587534,29659.75208327993,29982.290506335805,55
2018-09-11,349.9519556861734,29644.847787662824,29994.799743348998,55
2018-09-12,349.9519556861734,29722.112941781972,30072.064897468146,55
