Symbol,CAGR,Sharpe,MaxDD,Final_Equity,Trades,Signal-to-Profit
DVA,0.10426289149028367,0.6107000781236468,-0.4137046830970773,2.939572779302126,34,0.7647058823529411
ABT,0.10384014884101478,0.6268327709934359,-0.3076260002957386,2.927361055867387,43,0.7441860465116279
CMS,0.10320374035170987,0.8726177974657486,-0.14669322095499815,2.909064044289718,47,0.851063829787234
AON,0.10231970094396536,0.6241757666256224,-0.35688332701142156,2.883819838797508,35,0.8571428571428571
CB,0.10178137605881421,0.6053501518795432,-0.4117705778872399,2.8685453021142933,35,0.8285714285714286
NTAP,0.10060288459279487,0.486593683277004,-0.5588504534953342,2.8353626829554943,34,0.7941176470588235
RSG,0.10036476171121911,0.776189868109423,-0.2232020945429849,2.828700370235564,38,0.868421052631579
MKC,0.09994728183635981,0.6403270807828133,-0.34114719560032536,2.8170542219145127,39,0.8461538461538461
NOC,0.0983201948200223,0.6907301202965983,-0.40442720342247196,2.7720788192791335,35,0.8571428571428571
FMC,0.0979918318092563,0.5496568313803618,-0.566946646855762,2.763081778298883,35,0.7714285714285715
TJX,0.09757628405611696,0.538446865830738,-0.4596986290666084,2.7517339153881375,36,0.8333333333333334
MCK,0.09747565784466317,0.5370591851413978,-0.43247862440618834,2.748992366579902,40,0.75
ES,0.0973588678266899,0.814162470215133,-0.15376786465053227,2.7458135467508273,43,0.7441860465116279
AMAT,0.0959882699252268,0.5279888475940236,-0.4461210339004822,2.7087568859987847,36,0.75
SNA,0.09598346444436334,0.5378574809468969,-0.4441664634825272,2.7086277637034293,29,0.8275862068965517
EXPD,0.09592538547136753,0.5675034735563833,-0.3422664748774559,2.7070676353904153,42,0.7857142857142857
ITW,0.09562775579299809,0.6570541824363604,-0.2849730920263478,2.699085448023347,40,0.775
SRE,0.09547398421312048,0.6684047155834137,-0.20417288482093543,2.694969797388514,35,0.7428571428571429
TGT,0.09527474218851029,0.5191831226274572,-0.3310952038560627,2.6896456190923668,31,0.7741935483870968
MU,0.09510988585442037,0.4267858469659102,-0.736758300611025,2.685247523584561,36,0.8333333333333334
ADSK,0.09506314765799573,0.469197783679492,-0.4909763210908289,2.6840018141633566,33,0.7878787878787878
MMM,0.09473510374886285,0.7081848489065447,-0.24697796438920883,2.6752732420827794,41,0.8048780487804879
XEL,0.09448497692686031,0.8358102861620563,-0.1701843800007279,2.6686352108316256,45,0.8
WAT,0.0936228158304444,0.5347707492727868,-0.3177171099979694,2.6458690657815787,39,0.7435897435897436
MAR,0.09332287792201899,0.4651849033091131,-0.6467656728191045,2.637990376748081,25,0.76
AMT,0.0927768534778457,0.6478169806024374,-0.18249470834163517,2.623702220514855,43,0.7906976744186046
WYNN,0.09273396860970373,0.4222115258906604,-0.779497241193083,2.622583007705143,26,0.8461538461538461
MCO,0.09271523168966489,0.4797798538763493,-0.39876766784758333,2.622094146123913,33,0.7272727272727273
FDX,0.09195459552381369,0.4965349876097177,-0.4470401258991791,2.602318247955788,27,0.6666666666666666
HD,0.09134577765248131,0.5826303458548479,-0.38912191394473805,2.586587187413511,37,0.8378378378378378
